Beras Bengawan (Kg),Beras Mentik (Kg),Beras Ir 64 (Kg),Gula Pasir Dalam Negri (Kg),Bimoli Botol / Kemasan (Sps) (620 Ml),Bimoli Botol/Kemasan (Sps) (2 Liter),Tanpa Merk / Minyak Curah (Kg),Daging Sapi Murni (Kg),Daging Ayam Broiler (Kg),Daging Ayam Kampung (Kg),Telur Ayam Ras / Petelur (Kg),Telur Ayam Kampung (Kg),Susu Kental Manis Merk Bendera (397 Gr/Kl),Susu Kental Manis Merk Indomilk (390 Gr/Kl),Susu Bubuk Merk Bendera (Instant) (400 Gr/Dos),Susu Bubuk Merk Indomilk (Instant) (400 Gr/Dos),Jagung Pipilan Kering (Kg),Garam Bata (Buah),Garam Halus (Kg),Tepung Segitiga Biru (Kw Medium) (Kg),Kacang Kedelai Eks Impor (Kg),Kacang Kedelai Lokal (Kg),Indomie Rasa Kari Ayam (Bungkus),Cabe Keriting (Kg),Cabe Biasa (Kg),Cabe Rawit (Kg),Bawang Merah (Kg),Bawang Putih (Kg),Ikan Asin Teri (Kg),Kacang Hijau (Kg),Kacang Tanah (Kg),Ketela Pohon (Kg),Kol/Kubis (Kg),Kentang (Kg),Tomat (Kg),Wortel (Kg),Buncis (Kg),Semen Gresik (40 Kg),Semen Tiga Roda (40 Kg),Semen Holcim (40 Kg),Semen Padang (40 Kg),Semen Tonasa (40 Kg),Semen Bosowa (40 Kg),Ikan Bandeng (Kg),Ikan Kembung (Kg),Ikan Tuna (Kg),Ikan Tongkol (Kg),Ikan Cakalang (Kg),Kayu Balok Meranti (4 X 10) (Btg),Papan Meranti (4M X 3Cm X 20Mm) (Lembar),Triplek (6Mm) (Lembar),Besi Beton 6 Mm (12/9M) (Btg),Besi Beton 8 Mm (12/9M) (Btg),Besi Beton 10 Mm (12/9M) (Btg),Besi Beton 12 Mm (12/9M) (Btg),Paku Ukuran 10Cm (Kg),Paku Ukuran 2 Cm (Kg),Paku Ukuran 3Cm (Kg),Paku Ukuran 4Cm (Kg),Paku Ukuran 5Cm (Kg),Paku Ukuran 7Cm (Kg),Gas Elpigi 3 Kg (Kg),Pupuk Kcl Non Subsidi (Kg),Pupuk Npk Non Subsidi (Kg),Pupuk Sp 35 Non Subsidi (Kg),Pupuk Urea Non Subsidi (Kg),Pupuk Za Non Subsidi (Kg)
10411,10199,8824,12555,11844,25981,12253,105740,27062,54877,17133,36628,10000,9752,37757,35634,5655,672,4063,7870,8695,8191,2241,38849,28328,125457,35577,33428,59569,17342,22588,3604,6516,12478,4746,9667,8499,50199,48228,47819,47229,47036,47796,26139,27405,32880,26224,26781,92292,101347,75248,21454,32810,50863,69028,12970,14490,13995,13576,13280,12996,17455,7074,7950,3610,3502,3178
10411,10194,8822,12548,11788,25970,12262,105729,26997,55289,17145,36515,9992,9747,37599,35413,5601,676,4059,7829,8662,8153,2238,38494,27989,126217,35425,33770,59678,17326,22615,3332,6426,12526,4643,9658,8482,50135,48126,47796,46957,46852,47656,26204,27242,32747,26105,26516,92349,101690,74608,21612,32953,50834,69142,13030,14536,14046,13614,13298,13051,17441,5594,6877,3580,3502,3161
10407,10196,8817,12531,11784,25996,12243,105963,26962,55000,17003,36452,9987,9743,37815,35772,5582,685,3955,7788,8683,8119,2235,37800,27688,126305,35564,33735,59805,17524,22542,3311,6358,12485,4619,9757,8497,50142,48172,47833,47262,47100,47837,26356,26978,32925,26027,26564,92393,102129,74736,21400,32967,50912,69091,13031,14523,14019,13638,13275,13022,17450,5613,6891,3593,3508,3213
10388,10207,8817,12539,11814,26027,12234,105790,26750,54851,16980,36387,9993,9732,37882,35743,5620,674,4081,7830,8718,8162,2247,37762,27343,126447,35589,33291,59687,17423,22515,3331,6357,12350,4613,9643,8437,50095,48101,47766,47022,46944,47698,25961,26957,32817,26054,26583,92349,101704,74486,21434,32832,50829,68921,13063,15527,14023,13658,13289,13038,17441,5631,6875,3589,3504,3196
10384,10204,8803,12525,11859,26038,12246,105804,26692,54768,17033,36169,9992,9741,37848,35707,5619,750,4072,7811,8669,8144,2394,38113,27208,127579,35570,33247,59761,17389,22458,3344,6242,12334,4628,9743,8444,49986,48119,47788,47114,46900,46591,26101,27159,32835,25953,26628,92153,103051,75101,21462,32871,50998,69057,13017,14580,14065,13650,13253,13029,17427,5610,6869,3640,3517,3244
10370,10182,8801,12534,11827,26046,12222,105816,26780,54658,16916,36091,9983,9737,37852,35676,5614,680,4134,7793,8693,8166,2391,37841,27361,127890,35579,33160,59730,17452,22476,3317,6330,12382,4657,9754,8702,50077,48086,47729,46938,46944,47573,26044,27134,32722,26477,26630,92092,101599,75142,21448,32846,50671,68869,13007,14556,14044,13610,13262,13019,17446,5633,6847,3637,3519,3247
10393,10175,8791,12513,11887,26056,12291,105680,26509,53776,16866,35991,9988,9752,37893,35774,5641,706,4345,7808,8721,8208,2389,37663,27142,126917,36332,33588,60000,17549,22497,3338,6295,12368,4728,9683,8644,50098,48100,47739,47022,46944,47552,26002,27207,32648,26022,26328,92149,101444,75332,21477,32699,50762,68806,13011,14497,14043,13627,13281,13028,17458,5577,6857,3684,3517,3275
10377,10172,8774,12514,11898,26104,12211,105677,26352,54588,16733,35906,9993,9759,37959,35777,5558,680,4296,7821,8704,8118,2236,37561,26787,125917,36365,33206,60043,17548,22384,3321,6156,12317,4712,9602,8728,50140,48146,47774,47114,47019,47563,26090,27285,32551,26169,26651,91507,101380,75278,21599,32519,50678,68776,13056,14592,14069,13611,13312,13042,17297,5643,6843,3650,3552,3244
10361,10149,8761,12510,11918,26182,12159,105593,26347,54204,16670,36326,9998,9763,37929,35713,5654,689,4083,7828,8700,8119,2234,36518,26885,124219,36493,33153,59776,17470,22446,3347,6200,12317,4788,9647,8728,50156,48095,47699,47022,46833,47490,26183,27271,32582,26185,26546,91175,101042,75248,21491,32542,50614,68879,13039,14522,14027,13578,13307,13044,17442,5609,6783,3646,3546,3240
10362,10146,8762,12505,11884,26185,12116,105628,26366,54057,16660,35896,9994,9763,37830,35686,5633,690,4106,7824,8700,8130,2238,36153,26568,121541,36502,33096,59690,17437,22510,3329,6297,12153,4903,9481,8923,50112,48095,47731,46978,46833,47563,26190,27258,32711,26242,26552,91175,100944,75220,21486,32657,50456,68639,13030,14513,14018,13606,13300,13040,17451,5621,6820,3675,3554,3244
10359,10133,8764,12477,12026,26107,12093,105590,26465,53991,16598,36294,9979,9758,37926,35762,5642,679,4100,7835,8728,8151,2232,36118,26500,119289,36730,32890,60557,17478,22606,3337,6212,12228,4830,9550,9091,50108,48146,47742,46978,46833,47490,26206,27383,32506,26064,26656,91125,101197,75175,21401,32444,50558,69005,12988,14619,14052,13645,13303,13045,17459,5626,6793,3653,3546,3258
10329,10139,8759,12494,12069,26154,12163,105568,26510,53991,16634,36352,9974,9737,37935,35771,5606,686,4107,7776,8672,8149,2238,35707,26070,118602,37023,32841,59965,17441,22571,3641,6204,12233,4809,9594,9148,50072,48106,47753,46978,46833,47510,26206,27190,32607,26242,26599,91520,101380,75193,21453,32692,50507,68995,12942,14624,14057,13604,13298,12994,17441,5628,6809,3636,3533,3480
10324,10154,8748,12481,12033,26136,12141,105609,26451,54081,16649,36079,9985,9757,37874,35728,5562,689,4096,7766,8740,8162,2231,35444,26013,117002,37245,32820,59938,17509,22586,3688,6196,12225,4872,9578,9259,50139,48224,47750,47068,46904,47543,26149,27209,32678,26158,26532,91500,101300,75205,21438,32571,50630,68901,14224,14659,14053,13583,13297,13036,17463,5627,6823,3718,3597,3265
10323,10138,8748,12495,12091,26171,12125,105596,27135,54114,16672,35982,9972,9759,37903,35737,5571,710,4090,7837,8740,8185,2238,34683,25816,112469,37006,32693,59793,17448,22640,3315,6213,12200,4788,9550,9413,50111,48193,47747,47292,46982,47551,26225,27221,32593,26274,26699,91617,101274,75350,21477,32906,50502,68879,12975,14650,14046,13592,13284,13049,17433,5630,6836,3646,3524,3216
10338,10146,8723,12483,11961,26115,12131,105591,27346,54382,16788,36395,9978,9763,37867,35752,5570,697,4116,7850,8712,8133,2231,33797,25466,108526,36996,32640,60232,17560,22551,3678,6113,12046,4732,9636,9564,49972,48115,47667,46659,46420,47337,26317,27082,32593,26126,26597,91313,102586,75245,21476,32852,50821,69238,13012,14650,14029,13615,13264,13055,17440,5629,6839,3660,3556,3256
10338,10132,8732,12473,11974,26165,12126,105709,27574,54248,17017,36369,9986,9761,37879,35755,5577,708,4032,7800,8742,8265,2237,34136,25286,105784,36804,32493,59965,17493,22545,3693,6123,12049,4781,9651,9535,50041,48071,47591,46848,46685,47406,26114,27190,32614,26263,26849,90647,100557,75262,21453,32986,50988,69255,12970,14577,14019,13575,13273,13036,17400,5560,6792,3590,3532,3204
10374,10155,8732,12458,12034,26112,12081,105753,27873,54429,17154,36547,9990,9778,37936,35855,5610,706,4130,7814,8747,8239,2240,33511,25117,103015,36774,32382,59956,17559,22721,3342,6123,12168,4813,9822,9561,49973,48111,47634,46848,46648,47489,26175,27258,32528,26275,26742,92467,101089,75395,21486,32915,51040,69245,13016,14596,14030,13629,13264,13026,17423,5572,6776,3604,3526,3212
10357,10132,8742,12445,11912,26179,12096,105708,27920,54586,17116,36588,9999,9767,37991,35781,5584,710,4047,7814,8783,8173,2226,33290,25164,101434,35874,32094,59735,17574,22663,3351,6049,12126,4860,9690,9558,50051,48046,47665,47375,47146,47711,26179,26984,32680,26103,26919,92204,101183,75461,21596,32837,50800,68966,12988,14500,13945,13587,13271,12998,17417,5524,6787,3626,3526,3217
10365,10118,8695,12436,11981,26025,12116,105762,27942,54500,17154,35808,9969,9723,37909,35765,5688,701,4226,7792,8693,8152,2240,32320,24689,97715,36048,32210,60386,17702,22752,3654,5961,12170,4828,9680,9392,50093,48137,47725,46841,46712,47468,26231,27352,32820,26128,26676,89970,100841,75139,21410,32976,50940,69279,12993,14608,14030,13601,13240,13008,17454,5596,6810,3678,3965,3259
10350,10119,8701,12448,11961,25954,12115,105671,27942,54396,17122,36238,9986,9762,37833,35835,5667,696,4107,7821,8697,8162,2225,32449,24482,95128,35673,32260,60301,17619,22705,3643,6058,12200,4819,9744,9393,50028,48180,47714,46841,46635,47383,26243,27462,32695,26107,26558,90593,100171,75195,21429,32873,50955,69143,13000,14633,14039,13591,13238,13003,17459,5607,6834,3697,3576,3254
10352,10128,8712,12460,12005,26195,12109,105594,27861,54540,17143,36329,9982,9760,37937,35771,5669,711,4109,7807,8723,8200,2232,31641,24143,87813,34874,32290,60061,17658,22819,3311,5991,12287,4757,9706,9283,49869,48040,47570,46705,46519,47309,26322,27559,32736,26097,26727,91375,101437,75297,21509,32991,50988,69118,12984,14612,14038,13603,13261,13026,17446,5601,6847,3674,3552,3263
10367,10117,8716,12431,12006,26020,12114,105473,27724,54140,17135,36580,10001,9746,38230,35879,5662,699,4174,7824,8677,8151,2228,31210,24082,81234,34835,32204,60112,17678,22920,3629,6034,12273,4705,9828,9373,49835,48035,47532,46674,46574,47250,26232,27787,32783,26277,27265,90500,101986,75182,22079,32902,50848,69795,13323,14599,14023,13592,13266,12998,17442,5616,6856,3660,3521,3238
10371,10115,8735,12430,12038,26283,12117,105346,27574,54230,17113,36471,9993,9761,38216,35922,5677,712,4201,7801,8668,8161,2236,31209,23804,78663,34247,32328,60113,17702,22943,3296,5978,12200,4767,9823,9246,49824,48020,47538,46523,46365,47202,26021,27613,32084,26351,26995,92651,103254,75278,22104,32896,50847,69652,13016,14570,14015,13585,13292,13012,17441,5665,6879,3679,3535,3245
10410,10114,8731,12446,12049,26330,12129,105477,27350,54647,17123,36394,9971,9755,38404,36196,5680,717,4163,7813,8748,8142,2242,29449,23859,74289,33648,32416,60175,17524,23015,3293,6009,12271,4827,9782,9230,49823,48020,47473,46452,46300,47196,26093,27413,31915,26295,27052,93720,101471,75332,21586,33010,51062,69611,13051,14571,14010,13571,13294,12949,17441,5696,6883,3704,3544,3249
10420,10126,8718,12405,11997,26408,12093,105490,27079,54432,17144,36451,9957,9725,38291,36049,5687,767,4150,7817,8691,8113,2229,28996,23813,71198,33040,32468,59982,17814,23086,3279,5845,12323,4830,9925,9230,49839,48052,47478,46825,46708,47500,25868,27258,31914,26110,27011,92934,102408,75514,21601,32986,50966,69665,13005,14495,13968,13486,13288,12991,17477,5612,6849,4008,3566,3236
10413,10120,8711,12402,11960,26000,12052,105535,26950,54385,17122,36275,9949,9710,38173,35901,5674,683,4133,7837,8680,8099,2231,28778,23648,71454,32991,32373,60523,17658,23078,3256,5935,12379,4912,9944,9214,49645,48063,47528,46833,46479,47522,25873,27339,31853,25947,26801,92753,103377,75189,21568,33053,51269,69912,12964,14562,14022,13592,13226,12994,17467,5614,6857,3683,3576,3275
10364,10087,8707,12393,12024,26246,12043,105486,26991,54360,17097,36420,9944,9714,38337,35757,5681,739,4028,7816,8653,8121,2250,28771,23525,70305,33069,32482,60224,17800,23053,3290,5963,12332,4899,9852,9157,49674,47990,47452,46543,46389,47438,25883,27436,31872,26135,52139,91442,100786,75276,21551,33005,51100,69920,12952,14582,14043,13601,13225,12975,17455,5633,6853,3876,3537,3245
10347,10089,8725,12361,12027,26260,12049,105447,26733,54303,17081,36325,9927,9757,38126,35766,5681,697,4150,7821,8642,8092,2240,27698,23677,66966,32250,32506,60122,17861,23141,3276,5976,12347,4963,9997,9027,49728,47970,47426,46543,46389,47458,25807,27435,31728,26076,26883,92708,101972,75070,21542,33089,51016,69745,12970,14591,14028,13611,13261,13008,17455,5610,6879,3671,3534,3246
10366,10097,8696,12354,11944,26238,11992,105357,26717,54302,17035,36092,9923,9687,38112,35710,5656,693,4125,7831,8654,8090,2227,27530,23031,65633,31571,32099,61159,17872,23148,3255,5986,12299,5050,9999,8962,49812,48052,47467,46614,46442,47489,25868,27397,31730,26046,26574,93233,103314,75205,21486,33057,51136,69723,12974,14583,14043,13609,13259,12967,17477,6005,6844,3750,3581,3293
10365,10080,8704,12352,11995,26197,12019,105296,26724,54206,17036,36361,9923,9743,38172,35684,5682,704,4174,7818,8654,8212,2230,27259,22832,65997,31504,31922,60759,17918,23101,3283,5861,12343,5225,10085,9038,49772,47990,47441,46543,46426,47510,25761,27425,31583,26119,26653,92890,102611,75285,21542,33019,51012,69662,12984,14582,14033,13620,13261,13040,17459,5631,6825,3700,3543,3258
10363,10096,8695,12389,11981,26226,12018,105602,26280,54338,17041,36380,9921,9696,38197,35773,6268,779,4073,7791,8675,8205,2222,27108,22663,65829,31500,32216,60789,18026,23368,3246,5848,12515,5325,10042,8900,49808,47990,47457,46543,46315,47573,25725,27226,31819,26017,26740,93651,102549,75278,22014,32963,51110,69471,12947,14582,14045,13611,13285,12994,18734,5609,6772,3720,3551,3274
10365,10066,8676,12375,11997,26134,11922,105343,26980,54412,16922,36253,9931,9692,38147,35732,5686,826,4113,7825,8523,8166,2222,26586,22651,65134,31200,32550,60323,18026,23428,3234,5792,12482,5525,10164,8844,49808,48020,47511,46413,46278,47667,25894,27108,31700,25949,26607,91916,102111,75199,21589,33084,51143,69632,12956,14595,14033,13601,13233,12994,17464,5621,6791,3702,3546,3264
10325,10076,8668,12348,11937,26269,11895,105232,27044,54463,16939,35974,9924,9668,38266,35879,5607,778,4039,7821,8406,8035,2225,26313,22392,63449,30800,32624,60592,17894,23470,3294,5898,12456,5577,10154,8827,49689,48042,47511,47024,46720,47717,25902,26943,31732,25912,26637,94457,103354,75084,21505,33215,51458,70020,12980,14553,14017,13565,13235,12998,17429,5588,6704,3676,3563,3328
10311,10051,9411,12352,11836,26276,11893,105351,26999,54469,16886,36175,9946,9682,38122,35656,5594,692,4008,7788,8542,8078,2225,26486,22295,62247,30629,32680,59971,17853,23406,3304,5832,12459,5660,10270,8760,49624,47949,47407,46477,46327,47489,25810,26700,31615,25841,26633,91658,102147,75010,21534,33180,51148,69752,12986,14523,14017,13564,13262,13003,17407,5549,6717,3631,3520,3273
10316,10044,8677,12316,11939,26177,11823,105314,27067,54327,16851,36114,9944,9677,38120,35888,5598,683,3964,7790,8454,8073,2221,24747,22240,58693,30091,33377,59993,17801,23595,3286,5894,12618,5861,10196,8665,49667,47949,47419,46543,46389,47646,25612,26538,31444,25675,26443,90599,101329,75061,21558,33052,50807,69543,12972,14567,14025,13591,13238,12994,17432,5606,6741,3664,3520,3271
10356,10062,8671,12330,11955,26235,11827,105367,27133,54452,16853,36215,9963,9675,38128,35868,5620,708,4068,7834,8550,8076,2223,24230,22099,56480,29596,34138,60219,17823,23621,3251,5796,12568,5926,10179,8704,57313,48000,47468,46875,46589,47821,25407,26353,31315,25652,26663,90240,101071,75186,21558,33043,50907,69571,12972,14574,14025,13563,13210,12998,17441,5594,6731,3663,3535,3265
10347,10065,8681,12321,12015,26271,11881,105570,27053,54621,16862,36396,9951,9678,38197,35938,5654,693,4092,7809,8522,8093,2217,23674,22596,52951,28982,34881,59826,17806,23759,3293,5693,12673,6141,10117,8805,49697,47958,47440,46386,46260,47739,25505,26306,31517,25754,26963,90746,101000,75159,21569,32976,50934,69505,12995,14575,14011,13564,13286,13036,17463,5652,6792,3722,3533,3290
10352,10037,8666,12328,11998,26363,11843,105655,27054,54522,16816,36552,9967,9678,38252,35856,5549,687,4004,7786,8550,8076,2221,23420,21891,51660,28933,35310,59761,17788,23809,3237,5667,12703,6486,10189,8730,49793,47867,47376,46500,46204,47729,25442,26087,31506,25448,26594,90510,101114,75236,21510,32990,50812,69552,12991,14630,14071,13610,13290,13026,17450,5588,6738,3657,3526,3277
10357,10052,8670,12334,12004,26310,11861,105556,27114,54570,16815,36282,9958,9679,38276,35866,5607,688,4017,7817,8511,8068,2229,23224,22245,50971,28818,35441,59812,17823,23914,3193,5635,12688,6632,10164,8645,49666,47776,47344,46370,46093,47880,25333,26231,31360,25606,26706,93331,101057,75057,21514,32981,50812,69817,13336,14663,14067,13614,13262,13017,17468,5640,6716,3649,3539,3278
10370,10088,8691,12373,11966,26334,11840,105508,27077,54468,16864,36350,9974,9686,38228,35818,5614,688,4049,7826,8566,8079,2223,24110,22689,50497,29008,35385,59529,17896,23845,3266,5921,12669,6859,9991,8840,49689,47911,47378,46595,46350,47946,25341,26028,31407,25466,26667,93854,102261,75262,21529,33039,50855,69833,13048,14547,13998,13522,13255,13022,17435,5552,6699,3631,3536,3292
10355,10087,8694,12371,12030,26320,11855,105544,27140,54667,16869,36445,9968,9682,38227,35862,5647,694,4101,7818,8515,8118,2226,23994,22957,49290,29095,35632,60033,17941,24016,3254,5862,12692,7022,9996,8754,49652,47859,47333,46214,46020,47728,25490,26264,31535,25775,26941,93097,102030,75117,21520,33152,50973,69863,13019,14595,14045,13579,13298,13056,17430,5610,6737,3677,3548,3260
10368,10056,8682,12357,12068,26339,11861,105429,27323,54689,16752,36088,9967,9672,38223,35831,5697,684,4055,7809,8560,8093,2227,24401,23983,49458,28167,35809,60361,17947,24051,3241,5698,12833,7704,9957,8491,49624,47843,47021,46370,46278,47609,25310,26392,31678,25802,26816,92227,100648,75182,21505,32901,50748,69590,12995,14592,14052,13595,13269,13017,17473,5638,6771,3688,3536,3287
10376,10063,8704,12341,12025,26344,11807,105286,27464,54544,16839,36060,9943,9654,38201,35868,5672,685,4347,7797,8520,8134,2223,24323,24843,49970,28041,35910,60680,17857,23990,3247,5696,12732,7984,9884,8536,49637,47909,47074,46370,46167,47594,25264,26194,31567,25765,26847,93453,100930,75112,21505,32962,50752,69066,12995,14596,14078,13600,13245,13008,17473,5662,6776,3700,3543,3300
10384,10039,8673,12353,12017,26322,11807,105197,27586,54741,16810,35862,9946,9684,38290,35926,5650,718,4282,7812,8517,8125,2212,24433,25049,51430,27973,36098,60506,17922,24172,3204,5646,12835,7961,9797,8488,49587,47950,47132,46326,46130,47573,25358,26324,31593,25722,26919,93441,100648,75271,21566,32935,50923,69430,12995,14609,14052,13622,13239,13044,17487,5578,6838,3700,3592,3349
10392,10048,8664,12365,12057,26293,11825,105339,27659,54684,16782,35956,9951,9675,38290,35894,5707,721,4256,7808,8457,8111,2221,24969,25359,52447,27706,36111,60689,17948,24124,3226,5568,12947,8170,10003,8663,49761,48025,47442,46438,46411,47922,25450,26644,31615,25795,26869,93270,101333,75224,21537,32981,50797,69383,12986,14620,14043,13612,13229,13058,17482,5669,6773,3677,3547,3269
10388,10064,8654,12376,11994,26421,11851,105280,27625,54723,16828,37021,10004,9698,38278,35883,5695,712,4338,7864,8484,8222,2225,24993,25354,53454,27753,36054,59777,17960,23932,3289,5741,13103,8319,10071,8777,49813,47979,47484,46438,46393,47920,25500,26415,31678,25835,26932,93336,101993,75389,21549,33073,50833,69354,12957,14467,13962,13503,13119,12994,17532,5616,6977,3748,3660,3380
10391,10090,8687,12336,12081,26318,11981,105348,27534,54925,16843,36279,9980,9683,38368,35996,5693,691,4345,7767,8492,8131,2230,24783,25122,52137,28059,36099,60441,17918,23860,3275,5709,13053,8157,10034,8757,49806,48050,47537,46646,46589,47927,25417,26437,31678,25859,26770,91912,102092,75218,21537,33065,50984,69472,12991,14615,14070,13608,13234,13058,17487,5616,6773,3635,3578,3276
10375,10091,8690,12339,12047,26332,11815,105261,27414,54750,16780,36284,9968,9678,38239,35896,5732,703,4343,7785,8452,8140,2223,24665,25439,52529,28064,36108,60734,17922,23916,3213,5705,13053,8017,10084,8714,49804,48000,47479,46646,46411,47750,25560,26452,31311,26000,26969,92873,101042,75182,21528,33014,50853,69360,13005,14588,14006,13581,13245,13068,17477,5651,6776,3670,3606,3265
10380,10072,8695,12328,12036,26319,11840,105257,27220,54636,16802,36175,9966,9647,38399,36111,5697,695,4313,7629,8423,8157,2221,25063,25746,52204,28180,36112,60741,17904,24137,3214,5793,12928,7916,10081,8812,49846,48059,47453,46896,46661,47849,25252,26468,31201,25808,26586,93862,102423,74981,21491,33206,51194,69631,12982,14660,14052,13608,13229,13053,17478,5636,6736,3631,3611,3247
10390,10088,8719,12315,12036,26441,11828,104671,27034,54513,16850,36293,9973,9653,38357,35958,6344,697,4338,7603,8450,8137,2221,25011,25736,52657,28597,36428,60829,17879,24066,3262,5723,12932,7894,10045,8791,49725,48054,47126,46646,46661,47839,25229,26668,31389,25763,26530,93796,102310,75005,21500,33215,51208,69650,12991,14637,14030,13571,13225,13049,17482,5601,6706,3633,3577,3216
10371,10102,8697,12319,12058,26410,11826,105205,27219,54478,16866,36056,9969,9660,38330,35838,5755,705,4290,7677,8450,8123,2213,24758,24524,52092,28319,36680,60644,17879,24058,3228,5734,12851,7840,10025,8660,49797,47995,47447,46896,46661,47823,25248,26632,31478,25795,26606,94113,102324,75148,21519,33131,51245,69860,13028,14678,14044,13664,13280,13086,17500,5619,6790,3642,3646,3250
10372,10108,8697,12324,12054,26406,11819,105216,27331,54522,16853,36005,9961,9670,38388,35964,5757,697,4305,7681,8459,8125,2214,24734,24922,51321,28166,36874,60619,17874,24232,3211,5657,12793,7853,10154,8775,49783,48025,47420,46854,46625,47802,25335,26711,31317,25704,26495,93809,102338,75074,21486,33201,51147,69832,13009,14692,14057,13581,13266,13086,17482,5642,6753,3650,3630,3256
10389,10110,8713,12291,12042,26445,11799,105231,27442,54316,16877,36037,9957,9677,37877,35934,5778,710,4361,7820,8896,8118,2209,24294,24730,50834,28133,36960,60821,17797,24252,3239,5606,12817,7784,10183,8627,49792,47921,47426,46771,46482,47771,25248,26774,31172,25695,26773,93743,102347,75093,21477,33294,51110,69841,13023,14644,14044,13632,13266,13104,17469,5651,6785,3661,3633,3285
10389,10117,8709,12280,12080,26489,11743,105313,27378,54373,16974,36185,9953,9672,38209,35839,5752,710,4363,7695,8467,8118,2214,24237,24769,51043,28121,37766,60717,17866,24273,3205,5580,12784,7663,10207,8538,49856,47954,47511,47167,46900,48144,25324,26654,31208,25687,26582,93770,102181,75390,21529,32966,50805,69606,13005,14612,13969,13634,13269,13102,17486,5651,6825,3648,3624,3270
10387,10125,8700,12295,12086,26471,11779,105145,27611,54566,17108,36243,9975,9668,38330,35946,5747,696,4355,7677,8461,8116,2216,24663,25479,51810,28017,38904,60916,17862,24269,3216,5747,12885,7810,10252,8728,49743,48015,47484,46896,46625,47865,25275,26595,31139,25641,26470,93888,102254,75257,21495,33024,51021,69705,13033,14653,14021,13643,13266,13115,17491,5642,6790,3667,3634,3270
10394,10113,8709,12220,12047,26493,11775,105279,27547,54430,17230,36229,9966,9678,37917,35508,5781,712,4378,7715,8446,8225,2264,24627,25751,50983,28167,40624,60226,17832,24226,3227,5681,12815,7669,10319,8610,49690,47955,47332,46688,46446,47740,25183,26637,31039,25798,26510,93664,102181,75117,23421,33201,51110,69949,13007,14715,14052,13627,13229,13049,17478,5747,6868,3710,3678,3265
10385,10090,8704,12366,12052,26445,11714,105325,27533,54473,17434,36350,9953,9678,38236,35894,5786,694,4373,7706,8437,8091,2215,25321,26337,49918,27797,43236,59784,17887,24245,3204,5517,12733,7695,10310,8478,49670,47926,47289,46604,46375,47698,25050,26637,31256,25628,26566,93757,102194,75111,21541,33182,51063,69986,13018,14690,14053,13618,13248,13067,17482,5730,6875,3701,3669,3270
10389,10093,8705,12351,12044,26401,11712,105257,27587,54544,17502,36303,9956,9680,38222,35882,5746,715,4330,7697,8441,8119,2215,25193,26560,50060,28112,44243,59367,17857,24193,3198,5602,12672,7647,10190,8358,49656,47926,47300,46646,46375,47719,24875,26500,31244,25563,26697,93822,102236,75144,21519,33218,50924,70000,13009,14678,14039,13617,13243,13072,17487,5730,6835,3696,3672,3283
10383,10074,8685,12366,12056,26435,11712,105339,27625,54836,17697,36350,9957,9687,38323,35945,5811,709,4317,7670,8388,8088,2415,25760,27508,50493,27616,46816,60263,17913,24306,3213,5623,12871,7832,10308,8474,49652,47876,47279,46604,46375,47839,25000,26526,31144,25458,26864,94217,102375,75134,21551,33046,51035,70009,12991,14683,14046,13617,13243,13063,17496,5724,6885,3696,3697,3265
10393,10087,8701,12372,12079,26502,11710,105298,27638,54825,17853,36290,10726,9691,38201,35844,5821,709,4375,7683,8413,8111,2215,25576,27798,50487,28132,46230,60588,17897,24316,3225,5597,12913,7900,10314,8496,49661,47936,47237,46674,46574,47926,24972,26458,31222,25381,26788,93552,101247,74869,21588,32963,51007,70019,13028,14687,14016,13608,13239,13053,17487,5736,6888,3688,3557,3174
10412,10127,8719,12377,12097,26519,11706,105494,27534,54978,17909,36117,10718,9667,38319,35945,5837,705,4369,7672,8438,8119,2210,26018,27876,51336,28211,46635,60683,17901,24269,3228,5847,12930,8374,10251,8405,49754,48069,47332,46674,46759,47947,24954,26400,31267,25272,26636,93695,101597,74787,21616,33083,51137,74405,13028,14696,14039,13600,13234,13063,17496,5625,6865,3713,3692,3286
10396,10099,8708,12391,12093,26511,11701,105542,27539,55071,17887,36219,10728,9667,38377,36021,5820,705,4348,7687,8438,8114,2210,26222,27860,51422,28026,46984,60567,17935,24328,3230,5789,12953,7834,10315,8509,49707,47975,47335,46886,46827,47989,25051,26511,31354,25251,26656,93678,100944,74717,21537,33065,51166,69947,13014,14670,14039,13600,13227,13059,17495,5643,6833,3676,3687,3240
10393,10084,8703,12391,12066,26450,11688,105451,27504,54877,17860,36190,10688,9674,38239,35831,5787,715,4663,7721,8418,8097,2211,26024,27723,50948,27634,47148,60234,17905,24295,3226,5591,12913,7704,10200,8353,49638,47856,47237,46717,46685,47883,25009,26526,31456,25367,26857,93539,101095,74843,21579,33204,50576,69986,13032,14655,14030,13604,13243,13136,17487,5685,6855,3691,3694,3273
10401,10069,8699,12416,12045,26541,11681,105451,27508,55066,17904,36219,9928,9660,38290,35861,5806,700,4340,7716,8418,8065,2210,26285,27991,51927,27657,46976,60237,17891,24319,3217,5599,12969,7797,10309,8322,49728,47866,47226,46717,46611,47809,25128,26474,31367,25417,26796,93500,101041,74810,21921,33463,50688,69376,13037,14655,14012,13595,13252,13127,17455,5708,6865,3709,3689,3272
